# $Id$
#
# List of Datums available in GMT
# The (Dx,Dy,Dz) values are in meters relative to WGS-84
# To add more datumes, add new records, and run
#
# make gmt_datums.h
#
#Datum-name	Ellipsoid	Dx	Dy	Dz	Region
ISTS 061 Astro 1968	International-1924	-794	119	-298	South Georgia Islands
ISTS 073 Astro 1969	International-1924	208	-435	-229	Diego Garcia
Johnston Island 1961	International-1924	189	-79	-202	Johnston Island
Kandawala	Everest-1830	-97	787	86	Sri Lanka
Kerguelen Island 1949	International-1924	145	-187	103	Kerguelen Island
Kertau 1948	Everest-1830-Kertau	-11	851	5	West Malaysia & Singapore
Kusaie Astro 1951	International-1924	647	1777	-1124	Caroline Islands
Korean Geodetic System	GRS-80	0	0	0	South Korea
L. C. 5 Astro 1961	Clarke-1866	42	124	147	Cayman Brac Island
Leigon	Clarke-1880	-130	29	364	Ghana
Liberia 1964	Clarke-1880	-90	40	88	Liberia
Luzon	Clarke-1866	-133	-77	-51	Philippines (Excluding Mindanao)
Luzon	Clarke-1866	-133	-79	-72	Philippines (Mindanao)
M'Poraloko	Clarke-1880	-74	-130	42	Gabon
Macau	International-1924	-203.792	-303.371	-154.020	Macau
Mahe 1971	Clarke-1880	41	-220	-134	Mahe Island
Massawa	Bessel	639	405	60	Ethiopia (Eritrea)
Merchich	Clarke-1880	31	146	47	Morocco
Midway Astro 1961	International-1924	912	-58	1227	Midway Islands
Minna	Clarke-1880	-81	-84	115	Cameroon
Minna	Clarke-1880	-92	-93	122	Nigeria
Montserrat Island Astro 1958	Clarke-1880	174	359	365	Montserrat (Leeward Islands)
Nahrwan	Clarke-1880	-247	-148	369	Oman (Masirah Island)
Nahrwan	Clarke-1880	-243	-192	477	Saudi Arabia
Nahrwan	Clarke-1880	-249	-156	381	United Arab Emirates
Naparima BWI	International-1924	-10	375	165	Trinidad & Tobago
North American 1927	Clarke-1866	-5	135	172	Alaska (Excluding Aleutian Ids)
North American 1927	Clarke-1866	-2	152	149	Alaska (Aleutian Ids East of 180W)
North American 1927	Clarke-1866	2	204	105	Alaska (Aleutian Ids West of 180W)
North American 1927	Clarke-1866	-4	154	178	Bahamas (Except San Salvador Id)
North American 1927	Clarke-1866	1	140	165	Bahamas (San Salvador Island)
North American 1927	Clarke-1866	-7	162	188	Canada (Alberta; British Columbia)
North American 1927	Clarke-1866	-9	157	184	Canada (Manitoba; Ontario)
North American 1927	Clarke-1866	-22	160	190	Canada (New Brunswick; Newfoundland; Nova Scotia; Quebec)
North American 1927	Clarke-1866	4	159	188	Canada (Northwest Territories; Saskatchewan)
North American 1927	Clarke-1866	-7	139	181	Canada (Yukon)
North American 1927	Clarke-1866	0	125	201	Canal Zone
North American 1927	Clarke-1866	-9	152	178	Cuba
